task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	62/fd60ef	39807	DISCOVER_SAMPLES (Discovering samples)	CACHED	0	2025-10-21 20:01:27.349	142ms	0ms	-	-	-	-	-
3	70/16788a	40999	MASH_SPECIES_IDENTIFICATION:MASH_SPECIES_ID (GCWGS-2494)	CACHED	0	2025-10-21 20:03:11.974	51.9s	51s	-	-	-	-	-
4	34/616a76	40667	MASH_SPECIES_IDENTIFICATION:MASH_SPECIES_ID (GCWGS-3958)	CACHED	0	2025-10-21 20:02:20.011	54.4s	54s	-	-	-	-	-
6	e4/85f9be	41058	MASH_SPECIES_IDENTIFICATION:MASH_SPECIES_ID (MIL065)	CACHED	0	2025-10-21 20:03:14.394	1m 56s	1m 56s	-	-	-	-	-
5	51/9141fe	40666	MASH_SPECIES_IDENTIFICATION:MASH_SPECIES_ID (GCWGS-3992)	CACHED	0	2025-10-21 20:02:20.006	52s	51s	-	-	-	-	-
2	52/1d9117	41347	MASH_SPECIES_IDENTIFICATION:MASH_SPECIES_ID (GCWGS-2193)	CACHED	0	2025-10-21 20:04:03.830	51.3s	52s	-	-	-	-	-
7	c2/27cfa4	41718	MASH_SPECIES_IDENTIFICATION:COLLECT_MASH_RESULTS (collect_all_results)	CACHED	0	2025-10-21 20:05:10.373	84ms	0ms	-	-	-	-	-
10	4a/2e6dcc	41754	READS_QC_WORKFLOW:FASTP_QC (reads_requiring_assembly: GCWGS-2494)	CACHED	0	2025-10-21 20:05:10.680	26.7s	25s	140.2%	1.4 GB	2.5 GB	199.3 MB	123.2 MB
9	37/77e25d	41753	READS_QC_WORKFLOW:FASTP_QC (reads_requiring_assembly: GCWGS-2193)	CACHED	0	2025-10-21 20:05:10.677	25.8s	24s	125.9%	799.5 MB	1.8 GB	149.9 MB	78.9 MB
12	16/6bf881	43913	READS_QC_WORKFLOW:FASTP_QC (reads_requiring_assembly: GCWGS-3992)	CACHED	0	2025-10-21 20:07:17.361	19.9s	19s	153.3%	1.6 GB	2.7 GB	177.3 MB	106.9 MB
11	fa/77bed9	43919	READS_QC_WORKFLOW:FASTP_QC (reads_requiring_assembly: GCWGS-3958)	CACHED	0	2025-10-21 20:07:17.371	23.4s	23s	162.4%	1.3 GB	2.1 GB	201.1 MB	138.5 MB
13	53/bc9d33	44100	READS_QC_WORKFLOW:FASTP_QC (reads_requiring_assembly: MIL065)	CACHED	0	2025-10-21 20:07:37.317	1m 5s	1m 4s	426.4%	3.9 GB	4.9 GB	1.7 GB	1.7 GB
25	45/5404eb	44469	READS_QC_WORKFLOW:FASTP_SUMMARY (reads_requiring_assembly)	CACHED	0	2025-10-21 20:08:44.999	2.5s	572ms	89.9%	6.3 MB	286.5 MB	1.8 MB	18.2 KB
8	72/36fef5	60866	FINAL_QC_WORKFLOW:FORMAT_MASH_FOR_MERGE	COMPLETED	0	2025-10-21 22:31:04.436	1s	296ms	100.6%	6.3 MB	286.5 MB	459.4 KB	1.1 KB
17	89/edead3	60872	FINAL_QC_WORKFLOW:SNIPPY_FOR_FINAL_QC (GCWGS-2193)	COMPLETED	0	2025-10-21 22:31:04.444	1m 31s	1m 31s	151.3%	470.4 MB	33.4 GB	1.6 GB	1.2 GB
15	03/1de50f	61121	FINAL_QC_WORKFLOW:SNIPPY_FOR_FINAL_QC (GCWGS-2494)	COMPLETED	0	2025-10-21 22:32:35.653	2m 9s	2m 8s	154.9%	869.8 MB	33.4 GB	2.3 GB	1.8 GB
19	33/fcfbaa	61344	FINAL_QC_WORKFLOW:SNIPPY_FOR_FINAL_QC (GCWGS-3992)	COMPLETED	0	2025-10-21 22:34:44.528	1m 29s	1m 27s	160.5%	575.1 MB	33.4 GB	2 GB	1.6 GB
16	4c/8c69fd	60915	SPADES_MISSING_ASSEMBLIES (GCWGS-2193)	COMPLETED	0	2025-10-21 22:31:05.464	18m 41s	18m 40s	149.9%	1.8 GB	3.4 GB	4.2 GB	3.9 GB
23	08/c589f7	61542	FINAL_QC_WORKFLOW:SNIPPY_FOR_FINAL_QC (MIL065)	COMPLETED	0	2025-10-21 22:36:13.173	16m 6s	16m 6s	168.2%	7.7 GB	34.1 GB	21.2 GB	17.8 GB
14	d9/d6564d	60916	SPADES_MISSING_ASSEMBLIES (GCWGS-2494)	COMPLETED	0	2025-10-21 22:31:05.468	21m 31s	21m 31s	151.7%	1.8 GB	3.4 GB	6.1 GB	5 GB
21	65/3f46ed	63911	FINAL_QC_WORKFLOW:SNIPPY_FOR_FINAL_QC (GCWGS-3958)	COMPLETED	0	2025-10-21 22:52:19.640	2m 41s	2m 39s	149.7%	786.3 MB	33.4 GB	2.8 GB	2.3 GB
